model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,preempt_after_tokens,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_arc,small,shared_prefix,arc,gpu,1,461.7188928100004,,13168.185436375354,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,27753,1067,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_arc,small,shared_prefix,arc,cpu,1,470.2464266120005,,12929.391178588578,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,27279,1080,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_lru,small,shared_prefix,lru,gpu,1,499.09225261100073,,12182.116569016018,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,27897,1037,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_lru,small,shared_prefix,lru,cpu,1,548.262575323999,,11089.576917423166,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,28892,1404,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_arc,medium,shared_prefix,arc,gpu,1,504.56983630500326,,12049.868150114211,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,28527,932,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_arc,medium,shared_prefix,arc,cpu,1,515.4153910349996,,11796.310521094108,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,28239,925,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_lru,medium,shared_prefix,lru,gpu,1,1473.5534861289998,,4126.08029313687,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,27934,1032,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_lru,medium,shared_prefix,lru,cpu,1,498.185352393004,,12204.292982110128,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,28156,1008,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,gpu,1,508.06811463500344,,11966.899368144519,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,27611,1059,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,cpu,1,484.7339137750023,,12542.963937988747,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,27709,1136,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_lru,large,shared_prefix,lru,gpu,1,533.0620664659946,,11405.801279967573,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,28770,1451,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_lru,large,shared_prefix,lru,cpu,1,529.0416125009942,,11492.479714889298,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,28048,1113,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,gpu,1,478.2608782390016,,12712.727042168057,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,27175,1284,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,cpu,1,490.46825206500216,,12396.317140613237,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,27676,993,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,gpu,1,521.2797458969944,,11663.602984493122,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,28106,773,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,cpu,1,486.9139438339989,,12486.806091699898,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,27707,1238,0,0,0
