model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_arc,xsmall,shared_prefix,arc,gpu,1,81.43474050700024,,74661.01030281241,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,29422,156,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_arc,xsmall,shared_prefix,arc,cpu,1,80.81661748100032,,75232.05238612449,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,30400,106,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_lru,small,shared_prefix,lru,gpu,1,62.85369533599987,,96732.57821195501,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,27518,119,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_lru,small,shared_prefix,lru,cpu,1,74.54557923799985,,81560.83918254271,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,29910,163,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_arc,small,shared_prefix,arc,gpu,1,79.7873817840009,,76202.52556299788,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,28622,115,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_arc,small,shared_prefix,arc,cpu,1,60.011240224001085,,101314.3533995544,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,28315,128,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_lru,medium,shared_prefix,lru,gpu,1,79.56213518799996,,76418.26084271583,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,28622,115,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_lru,medium,shared_prefix,lru,cpu,1,80.24510492099944,,75767.86155349543,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,30673,146,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_arc,medium,shared_prefix,arc,gpu,1,76.86212547999821,,79102.67849127065,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,30656,160,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_arc,medium,shared_prefix,arc,cpu,1,84.47889647099873,,71970.63709381242,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,31017,175,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_lru,large,shared_prefix,lru,gpu,1,77.05775675299992,,78901.8556495067,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,29369,116,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_lru,large,shared_prefix,lru,cpu,1,75.98872319699876,,80011.87208051595,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,28774,128,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,gpu,1,85.13811744099985,,71413.37138695132,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,30643,107,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,cpu,1,77.1057955010001,,78852.69791323454,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,28363,102,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,gpu,1,65.69564306499888,,92547.99430130373,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,28125,131,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,cpu,1,80.85407976799979,,75197.19496462967,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,30400,106,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,gpu,1,70.86761537799975,,85793.77149308575,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,28764,147,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,cpu,1,81.74376513100106,,74378.76136799307,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,29970,120,0,0,0
