model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,preempt_after_tokens,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_uniq_lru,medium,unique,lru,cpu,1,8970.170581434,,680.5890640068558,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,105,6000,42657,1,0.3,20,54444,24,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_uniq_arc,medium,unique,arc,cpu,1,8887.569624352,,686.9144499607924,,,,,0.3,89.458212864,200,105,6000,42657,1,0.3,20,48508,7,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_lru,large,unique,lru,gpu,1,1864.8061883739974,,3273.79865964688,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,20,52166,84,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_lru,large,unique,lru,cpu,1,1728.532454780001,,3531.8978148877245,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,20,49472,71,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_arc,large,unique,arc,gpu,1,3208.9801704530037,,1902.4735821718002,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,20,52693,2,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_uniq_arc,large,unique,arc,cpu,1,1927.2202505490059,,3167.7749329693233,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,105,6000,42657,1,0.3,20,52751,22,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_lru,xlarge,unique,lru,gpu,1,1971.3760228739993,,3096.821676414496,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,105,6000,42657,1,0.3,20,52461,7,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_lru,xlarge,unique,lru,cpu,1,2729.073997087,,2237.0225235799567,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,105,6000,42657,1,0.3,20,51211,62,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_arc,xlarge,unique,arc,cpu,1,1415.8223981809997,,4311.981508304641,,,,,0.3,89.458212864,500,105,6000,42657,1,0.3,20,49315,31,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_uniq_arc,xlarge,unique,arc,gpu,1,3026.760990425999,,2017.007626076467,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,105,6000,42657,1,0.3,20,51806,35,0,0,0
